CaseNo,CaseYr,Address,DateOpened,CaseType,Status,StatusDate,Closed,parcelId,lat,lng
05410918W3,2014,918 DELAWARE AVE,2014-07-16,Nuisance,Invalid Nuisance,2014-07-17,True,31689550,-84.470360343701,38.0382021787403
38572108W3,2014,2108 WINNING COLORS LN,2014-07-16,Nuisance,Invalid Nuisance,2014-07-17,True,38048410,-84.5812958419486,37.9838668485819
19440711-4,2014,711 N UPPER ST,2014-07-15,Housing,Invalid Complaint,2014-07-17,True,14681300,-84.4848603825363,38.0565382200417
12000606-2,2014,606 LONGVIEW DR,2014-07-17,Housing,Invalid Complaint,2014-07-17,True,25442300,-84.5385946243422,38.0219107822906
00241920S,2012,1920 ALICE DR,2012-10-08,Housing,Closed Out,2014-07-17,True,12537000,-84.4760536524892,38.0915552435093
00232136S2,2013,2136 ALEXANDRIA DR,2013-05-30,Housing,Closed Out,2014-07-17,True,11694500,-84.5525714552606,38.0253970717278
09681025S,2014,1025 HUDSON AVE,2014-04-02,Housing,Reinspection,2014-07-17,False,11538250,-84.4640586721437,38.0533299656944
17700190S,2013,190 SPRUCE ST,2013-05-21,Housing,Closed Out,2014-10-21,True,13626900,-84.4959300565027,38.0492407962667
05250916S,2011,916 DARLEY DR,2011-03-28,Housing,Closed Out,2014-12-08,True,26959300,-84.4667045904942,38.0516936944305
16531040S,2011,1040 RUSSELL CAVE RD,2011-05-31,Housing,Reinspection,2014-12-08,False,20121060,-84.4094355215549,38.1701997710272
09130608S,2011,608 HENRY CLAY BLVD,2011-07-21,Housing,Reinspection,2014-07-17,False,42471100,-84.4695369695745,38.0329042009797
19600000SIGNS26,2014,0 VERSAILLES RD,2014-07-14,Nuisance,Sign Closed-No Notice Required,2014-07-17,True,12833575,-84.5197108109786,38.0531848609318
17661916W2,2014,1916 SPRING STATION DR,2014-07-16,Nuisance,Nuisance Resolved w/o Notice/Order,2014-07-17,True,10546250,-84.4501684734349,38.0674829888551
00340140W10,2014,140 AMERICAN AVE,2014-07-16,Nuisance,Nuisance Resolved w/o Notice/Order,2014-07-17,True,41313600,-84.5191485844774,38.0353088244254
00340169W10,2014,169 AMERICAN AVE,2014-07-16,Nuisance,Nuisance Resolved w/o Notice/Order,2014-07-17,True,43540900,-84.5168198704925,38.0330774141352
11210890W7,2014,890 LANE ALLEN RD,2014-07-14,Nuisance,Nuisance Resolved w/o Notice/Order,2014-07-17,True,24978700,-84.5622188310265,38.0366926819632
17383306W12,2014,3306 SNAFFLE RD,2014-06-24,Nuisance,Closed/Abated by City,2014-07-17,True,22786502,-84.559841808965,38.0120764715593
09510525W2,2014,525 HOLLOW CREEK RD,2014-06-20,Nuisance,Closed/Abated by City,2014-07-17,True,15751100,-84.4830669063967,38.0787362551053
01221816W7,2014,1816 BARKSDALE DR,2014-06-18,Nuisance,Closed/Abated by City,2014-07-17,True,16351200,-84.4702203859849,38.0857830329915
17750540W3,2014,540 ST ANTHONY DR,2014-06-18,Nuisance,Closed/Abated by City,2014-07-17,True,25347800,-84.4490994584242,38.0607935244797
36611200W12,2014,1200 KANNAPOLIS PL,2014-05-22,Nuisance,Closed/Abated by City,2014-07-17,True,20104260,-84.4174172576987,38.0092016985998
00970175S2,2012,175 AVON AVE,2012-03-23,Housing,Housing w/Civil Penalty,2014-07-17,False,13959700,-84.4778700828393,38.0584952108067
26303632S,2011,3632 PHEASANT RUN,2011-03-30,Housing,Housing w/Civil Penalty,2014-10-22,False,20117980,-84.4055414928434,38.0002768358994
11660730S3,2011,730 N LIMESTONE,2011-03-15,Housing,Housing w/Civil Penalty,2014-12-08,False,46316500,-84.4730531596377,38.0636360190822
07770685S,2011,685 GAY PL,2011-06-01,Housing,Housing w/Civil Penalty,2014-12-08,False,25493500,-84.4620713176215,38.0533443965592
07770681S,2011,681 GAY PL,2011-06-01,Housing,Housing w/Civil Penalty,2014-12-08,False,15143400,-84.4617784809158,38.0531047091032
01161723S,2012,1723 BANBURY CT,2012-08-06,Housing,Housing w/Civil Penalty,2014-11-14,False,44564600,-84.4622865319058,38.0346805364056
19990614S,2012,614 WARRINGTON DR,2012-07-16,Housing,Housing w/Civil Penalty,2014-12-08,False,17085600,-84.4547516446076,38.0547539203287
03343272S,2012,3272 CARRIAGE LN,2012-06-28,Housing,Housing Closed w/Civil Penalty,2014-07-17,True,38057510,-84.5722779808783,38.0184556764799
02350754-5,2011,754 BREATHITT AVE,2011-08-04,Housing,Housing Closed w/Civil Penalty,2014-07-16,True,10169400,-84.4797563708643,38.0539080998274
07830000SIGNS8,2014,0 GEORGETOWN RD,2014-07-01,Nuisance,Sign Closed-No Notice Required,2014-07-16,True,26745000,-84.525214712094,38.1222834699515
08370000SIGNS8,2014,0 GREENDALE RD,2014-06-30,Nuisance,Sign Closed-No Notice Required,2014-07-16,True,10034360,-84.5326159632928,38.0813486572874
13581409EMER,2014,1409 MT RAINIER DR,2014-06-02,Housing,BoardedUp/Closed,2014-07-16,True,11887835,-84.4630015011741,37.9802220471673
08841211-1213W2,2014,1211-1213 HARRIS CT,2014-06-20,Nuisance,Closed/Abated by City,2014-07-16,True,19320750,-84.5652733004408,37.9831116344933
29841000W5,2014,1000 CRIMSON CREEK DR,2014-07-14,Nuisance,Nuisance Resolved w/o Notice/Order,2014-07-16,True,19331120,-84.4027024649697,38.0025715913374
