CaseNo,CaseYr,Address,DateOpened,CaseType,Status,StatusDate,Closed,parcelId,lat,lng
20660212W2,2014,212 WILTON AVE,2014-05-09,Nuisance,Closed Nuisance,2014-05-27,True,16296200,-84.4748769390776,38.0581521267337
35530652W,2014,652 SKYVIEW LN,2014-05-09,Nuisance,Closed Nuisance,2014-05-27,True,12535375,-84.4542043539421,38.0882053695737
35530653W,2014,653 SKYVIEW LN,2014-05-09,Nuisance,Closed Nuisance,2014-05-27,True,19330220,-84.4127371260698,37.9951151849122
14552004W16,2014,2004 PARALLEL RD,2014-05-09,Nuisance,Closed Nuisance,2014-05-27,True,14587475,-84.4748852547475,38.0163349745291
14701045W2,2014,1045 PATRICIA LN,2014-05-09,Nuisance,Closed Nuisance,2014-05-27,True,19968990,-84.5628450120777,37.9781387577343
14701065W,2014,1065 PATRICIA LN,2014-05-09,Nuisance,Closed Nuisance,2014-05-27,True,19326580,-84.5617524652962,37.9794079077805
08460469W12,2014,469 GREENWOOD AVE,2014-05-09,Nuisance,Closed Nuisance,2014-05-27,True,10449750,-84.4949583270373,38.0578615549735
02340945W5,2014,945 BRAVINGTON WAY,2014-05-09,Nuisance,Closed Nuisance,2014-05-27,True,25657350,-84.560641604416,37.9954852543764
23480899W,2014,899 WYNDHAM HILLS DR,2014-05-09,Nuisance,Closed Nuisance,2014-05-27,True,19312050,-84.5659401988918,37.9821079824515
20681107W#5,2014,1107 WINCHESTER RD MH#5,2014-05-08,Nuisance,Closed Nuisance,2014-05-27,True,14210800,-84.4846895637431,38.0295988964052
18800465W,2014,465 W THIRD ST,2014-05-08,Nuisance,Closed Nuisance,2014-05-27,True,15986000,-84.4986259632368,38.0554626970682
10491084W,2014,1084 KELSEY DR,2014-05-12,Nuisance,Closed Nuisance,2014-05-27,True,20088420,-84.4136909010391,38.0076331676057
10691120W8,2014,1120 KILRUSH DR,2014-05-12,Nuisance,Closed Nuisance,2014-05-27,True,17253300,-84.549882706826,38.0589931941151
10691136W2,2014,1136 KILRUSH DR,2014-05-12,Nuisance,Closed Nuisance,2014-05-27,True,17253300,-84.549882706826,38.0589931941151
10691156W3,2014,1156 KILRUSH DR,2014-05-12,Nuisance,Closed Nuisance,2014-05-27,True,17253300,-84.549882706826,38.0589931941151
10691191W,2014,1191 KILRUSH DR,2014-05-12,Nuisance,Closed Nuisance,2014-05-27,True,17253300,-84.549882706826,38.0589931941151
11950636W,2014,636 LOMBARDY DR,2014-05-09,Nuisance,Closed Nuisance,2014-05-27,True,11570400,-84.4444707946707,38.0596640400484
16900562W9,2014,562 E SEVENTH ST,2014-05-09,Nuisance,Closed Nuisance,2014-05-27,True,15072250,-84.4760088950986,38.0482831820177
19890345-347W2,2014,345-347 N MARTIN LUTHER KING BLVD,2014-05-09,Nuisance,Closed Nuisance,2014-05-27,True,16384300,-84.4826068292604,38.0537247919276
14200449W2,2014,449 OHIO ST,2014-05-09,Nuisance,Closed Nuisance,2014-05-27,True,15602150,-84.4949386945456,38.0552851548526
14200448W7,2014,448 OHIO ST,2014-05-09,Nuisance,Closed Nuisance,2014-05-27,True,15668700,-84.4847254731812,38.047889561181
16900857W3,2014,857 E SEVENTH ST,2014-04-17,Nuisance,Closed Nuisance,2014-05-27,True,10037050,-84.4828271174035,38.0539031859993
39994633W,2014,4633 MARCUS TRL,2014-04-28,Nuisance,Closed Nuisance,2014-05-27,True,20050260,-84.4938749476789,37.952200541414
00100705W9,2014,705 ADDISON AVE,2014-04-22,Nuisance,Closed Nuisance,2014-05-27,True,16503300,-84.4821420830744,38.0387449549603
31170645W4,2014,645 GOLFVIEW DR,2014-04-23,Nuisance,Closed Nuisance,2014-05-27,True,13225660,-84.4523824895509,38.0885857480484
07473417W,2014,3417 FRASERDALE DR,2014-05-02,Nuisance,Closed Nuisance,2014-05-27,True,20060910,-84.4937216380892,37.9901900443501
13503395W2,2014,3395 MOUNDVIEW CT,2014-05-05,Nuisance,Closed Nuisance,2014-05-27,True,27281121,-84.5385176963093,37.9880392356983
15780832W,2014,832 RAVEN RD,2014-05-05,Nuisance,Closed Nuisance,2014-05-27,True,20200750,-84.5345249259457,38.0382687010573
17502805W,2014,2805 SOUTHVIEW DR,2014-05-05,Nuisance,Closed Nuisance,2014-05-27,True,25393700,-84.5362280633984,38.0091501166178
18260831W3,2014,831 SUNSET DR,2014-05-06,Nuisance,Closed Nuisance,2014-05-27,True,20034060,-84.4964007302241,37.9575922847659
28143501W2,2014,3501 FOREST SPRING CT,2014-05-06,Nuisance,Closed Nuisance,2014-05-27,True,20066510,-84.5516211424663,37.9848812168699
32783357W5,2014,3357 TYLER CT,2014-05-06,Nuisance,Closed Nuisance,2014-05-27,True,19991360,-84.4233491780762,38.0006418355232
18594595W,2014,4595 TATES CREEK RD,2014-05-06,Nuisance,Closed Nuisance,2014-05-27,True,13101800,-84.4942458930538,38.0189997231954
19483240W4,2014,3240 VALHALLA DR,2014-05-06,Nuisance,Closed Nuisance,2014-05-27,True,20926750,-84.5653566253025,38.0950573773651
10361132W2,2014,1132 KALONE WAY,2014-05-06,Nuisance,Closed Nuisance,2014-05-27,True,20276778,-84.4560122889833,37.9846608166093
12680826W23,2014,826 W MAXWELL ST,2014-05-06,Nuisance,Closed Nuisance,2014-05-27,True,10940725,-84.5087800029247,38.0496293165464
08443514W2,2014,3514 GREENTREE RD,2014-05-05,Nuisance,Closed Nuisance,2014-05-27,True,12031700,-84.4906504253324,37.9835571760905
18751507W8,2014,1507 THAMES DR,2014-05-05,Nuisance,Closed Nuisance,2014-05-27,True,14684900,-84.4811019925374,38.0804660210399
19243841W,2014,3841 TROUT CT,2014-05-05,Nuisance,Closed Nuisance,2014-05-27,True,20279224,-84.4810622083285,37.9660781114775
18580116W4,2014,116 TARTAN DR,2014-05-05,Nuisance,Closed Nuisance,2014-05-27,True,22241200,-84.5169360673979,37.986789287555
03820110W6,2014,110 CHELAN DR,2014-05-06,Nuisance,Closed Nuisance,2014-05-27,True,26114600,-84.5315718441502,38.0504500418188
09290898W2,2014,898 E HIGH ST,2014-05-06,Nuisance,Closed Nuisance,2014-05-27,True,10617700,-84.4940794708343,38.0411170579376
07300236W7,2014,236 FOREST PARK RD,2014-05-06,Nuisance,Closed Nuisance,2014-05-27,True,19960770,-84.5482823471883,38.0912441028357
07300237W2,2014,237 FOREST PARK RD,2014-05-06,Nuisance,Closed Nuisance,2014-05-27,True,13421150,-84.4858309604479,38.0311500088357
03910347W4,2014,347 CHESTNUT ST,2014-04-30,Nuisance,Nuisance Closed w/Civil Penalty,2014-05-27,True,16471625,-84.4888710840953,38.0446969584117
20300218W5,2014,218 WESTWOOD CT,2014-05-07,Nuisance,Nuisance Closed w/Civil Penalty,2014-05-27,True,14298900,-84.5390682424339,38.0549933774515
12490307W3,2014,307 MARIEMONT DR,2014-05-08,Nuisance,Nuisance Closed w/Civil Penalty,2014-05-27,True,26193350,-84.4586566964222,38.064853512648
12230661W13,2014,661 MAGNOLIA AVE,2014-05-12,Nuisance,Nuisance Closed w/Civil Penalty,2014-05-27,True,23705300,-84.4455030431276,38.0572946903464
34450227W2,2014,227 SIMBA WAY,2014-05-21,Nuisance,Nuisance Closed w/Civil Penalty,2014-05-27,True,19999650,-84.4485922529582,38.0106563738886
10273804W4,2014,3804 JOSHUA CIR,2014-04-28,Nuisance,Nuisance Closed w/Civil Penalty,2014-05-27,True,24816646,-84.5557839432527,37.9792168357938
03641284W23,2014,1284 CENTRE PKWY,2014-04-02,Nuisance,Nuisance Closed w/Civil Penalty,2014-05-27,True,20654871,-84.4678743985186,37.9914237130545
09991545W4,2013,1545 JACANA DR,2013-11-11,Nuisance,Nuisance Closed w/Civil Penalty,2014-05-27,True,13229402,-84.4476534804224,38.0494848365278
10010658W9,2014,658 JACKSON ST,2014-05-20,Nuisance,Nuisance Resolved w/o Notice/Order,2014-05-27,True,19966370,-84.4743293218671,38.0485572745542
04160580W5,2014,580 CLAYMONT DR,2014-05-23,Nuisance,Nuisance Resolved w/o Notice/Order,2014-05-27,True,15263300,-84.5355975734875,38.0137232665119
05341905W4,2014,1905 DEAUVILLE DR,2014-04-28,Nuisance,Closed/Abated by City,2014-05-27,True,10016400,-84.5426014476779,38.0506680319743
13242441W5,2014,2441 MIRAHILL DR,2014-05-06,Nuisance,Closed/Abated by City,2014-05-27,True,16447400,-84.4500304083616,38.0164182398854
34592753W,2014,2753 JACQUELYN LN,2014-05-05,Nuisance,Closed/Abated by City,2014-05-27,True,20142390,-84.6019758156309,37.9909720204686
13440462W6,2014,462 MORGAN AVE,2014-04-30,Nuisance,Closed/Abated by City,2014-05-27,True,10132500,-84.4961126083203,38.0306739608637
12591604W,2014,1604 MARTHA CT,2014-05-01,Nuisance,Closed/Abated by City,2014-05-27,True,14565800,-84.4499720358603,38.0486395376324
18790379W2,2014,379 E THIRD ST,2014-04-22,Nuisance,Closed/Abated by City,2014-05-27,True,15101700,-84.4867230034392,38.0450653432864
00231218W9,2014,1218 ALEXANDRIA DR,2014-05-12,Nuisance,Closed/Abated by City,2014-05-27,True,13559300,-84.4685135519792,38.0509803056024
02350764,2013,764 BREATHITT AVE,2013-07-09,Housing,Housing Closed w/Civil Penalty,2014-05-27,True,04021350,-84.4838225539322,38.0576653846167
16113608W12,2014,3608 RIVER PARK DR,2014-05-02,Nuisance,Closed/Abated by City,2014-05-26,True,15129700,-84.47795544079,37.9740465364476
20930962W11,2014,962 WOLF RUN DR,2014-05-02,Nuisance,Closed/Abated by City,2014-05-25,True,20131890,-84.5399004416946,38.0438946496037
17740125W2,2014,125 ST ANN DR,2014-05-02,Nuisance,Closed/Abated by City,2014-05-24,True,12440750,-84.4618673264795,38.020841957425
09331407W20,2014,1407 HIGHLAWN AVE,2014-05-22,Nuisance,Nuisance Resolved w/o Notice/Order,2014-05-24,True,44303950,-84.4691547069645,38.0618553068998
25870829W4,2014,829 PALOMINO LN,2014-05-21,Nuisance,Nuisance Resolved w/o Notice/Order,2014-05-23,True,20084210,-84.5603859986547,38.0089435396579
06470635W34,2014,635 ELM TREE LN,2014-05-22,Nuisance,Nuisance Resolved w/o Notice/Order,2014-05-23,True,13148000,-84.4819850302219,38.0517444952725
07360301W19,2014,301 E FOURTH ST,2014-04-15,Nuisance,Nuisance Closed w/Civil Penalty,2014-05-23,True,15335600,-84.4859577254467,38.0472037776305
18790545W15,2014,545 E THIRD ST,2014-05-08,Nuisance,Nuisance Closed w/Civil Penalty,2014-05-23,True,13351300,-84.4865244885589,38.0449553310279
03100816W8,2014,816 CAMPBELL LN,2014-05-07,Nuisance,Nuisance Closed w/Civil Penalty,2014-05-23,True,38021270,-84.4286898901571,38.0180623304454
14200327W5,2014,327 OHIO ST,2014-04-30,Nuisance,Nuisance Closed w/Civil Penalty,2014-05-23,True,10314100,-84.4876514234677,38.0463724937633
36090551W17,2014,551 VINCENT WAY,2014-05-06,Nuisance,Nuisance Closed w/Civil Penalty,2014-05-23,True,38018400,-84.5402353524996,37.996490637552
16441004W8,2014,1004 ROYAL AVE,2014-05-06,Nuisance,Nuisance Closed w/Civil Penalty,2014-05-23,True,04010330,-84.5137498128352,38.0724988766341
00272278W4,2014,2278 ALLEN DR,2014-05-07,Nuisance,Nuisance Closed w/Civil Penalty,2014-05-23,True,25424300,-84.4586819829443,38.0831235973129
14760445W10,2014,445 PEACHTREE RD,2014-05-05,Nuisance,Closed/Abated by City,2014-05-23,True,11461400,-84.4475331253176,38.0165162241076
12370221W9,2014,221 MANDALAY RD,2014-05-07,Nuisance,Closed/Abated by City,2014-05-23,True,12860800,-84.5440096972876,38.0550044261657
07120751W13,2014,751 FLORENCE AVE,2014-05-08,Nuisance,Closed/Abated by City,2014-05-23,True,16991425,-84.5064239375338,38.0667815268059
07120725W4,2014,725 FLORENCE AVE,2014-05-08,Nuisance,Closed/Abated by City,2014-05-23,True,16991425,-84.5064239375338,38.0667815268059
25810840W4,2014,840 QUARTER HORSE CT,2014-04-30,Nuisance,Closed/Abated by City,2014-05-23,True,20084380,-84.5597324748466,38.0093862729832
13600469W5,2014,469 MT TABOR RD,2014-04-30,Nuisance,Closed/Abated by City,2014-05-23,True,14646325,-84.4572533815319,38.0011117947412
14200355W14,2014,355 OHIO ST,2014-05-21,Nuisance,Closed/Abated by City,2014-05-23,True,14904100,-84.4868964360787,38.0468872539182
12040410W12,2014,410 E LOUDON AVE,2014-05-06,Nuisance,Closed Nuisance,2014-05-23,True,17177300,-84.4807424878917,38.0560853468542
21200433W,2014,433 YALE DR,2014-05-01,Nuisance,Closed Nuisance,2014-05-23,True,11573175,-84.4647127546034,38.058520792119
17502821W2,2014,2821 SOUTHVIEW DR,2014-04-29,Nuisance,Closed Nuisance,2014-05-23,True,24666800,-84.5356406540307,38.008591777282
18790407W7,2014,407 E THIRD ST,2014-04-22,Nuisance,Closed Nuisance,2014-05-23,True,14985300,-84.4864281274452,38.044900736528
10590613W19,2014,613 KENT DR,2014-04-22,Nuisance,Closed Nuisance,2014-05-23,True,20909400,-84.4559157834726,38.0867867557377
08460457W7,2014,457 GREENWOOD AVE,2014-05-09,Nuisance,Closed Nuisance,2014-05-23,True,11935630,-84.4677560560359,38.0565356557735
08460455W8,2014,455 GREENWOOD AVE,2014-05-09,Nuisance,Closed Nuisance,2014-05-23,True,10643200,-84.4678468053462,38.0566150740768
08460410W7,2014,410 GREENWOOD AVE,2014-05-09,Nuisance,Closed Nuisance,2014-05-23,True,11152650,-84.4869389040764,38.0588149460693
01980210W3,2014,210 BLUE GRASS AVE,2014-05-08,Nuisance,Closed Nuisance,2014-05-23,True,46182900,-84.4765694174384,38.0340978518969
08140516W3,2014,516 GOODLOE ST,2014-05-08,Nuisance,Closed Nuisance,2014-05-23,True,11511050,-84.4886565888344,38.0534327077078
01221816W6,2014,1816 BARKSDALE DR,2014-05-09,Nuisance,Closed Nuisance,2014-05-23,True,16351200,-84.4702203859849,38.0857830329915
07410829W,2014,829 FOXCROFT CT,2014-05-07,Nuisance,Closed Nuisance,2014-05-23,True,20139500,-84.4019388788527,37.9951932136409
25414744W,2014,4744 INMAN DR,2014-05-07,Nuisance,Closed Nuisance,2014-05-23,True,20079950,-84.5954729641476,37.9932914163376
00231592W2,2014,1592 ALEXANDRIA DR,2014-05-07,Nuisance,Closed Nuisance,2014-05-23,True,23434910,-84.5758183104218,38.0376124693604
07334273W,2014,4273 FORSYTHE DR,2014-05-07,Nuisance,Closed Nuisance,2014-05-23,True,20077970,-84.5865405345883,37.9971877790219
07120747W2,2014,747 FLORENCE AVE,2014-05-07,Nuisance,Closed Nuisance,2014-05-23,True,16991425,-84.5064239375338,38.0667815268059
21140657-659W7,2014,657-659 WOODWARD LN,2014-05-07,Nuisance,Closed Nuisance,2014-05-23,True,11133100,-84.4815843075339,38.0520223486995
04200387W,2014,387 CLEARWOOD CT,2014-05-07,Nuisance,Closed Nuisance,2014-05-23,True,26082500,-84.5325874012585,38.0112676759662
08862001W7,2014,2001 HARRODSBURG RD,2014-05-08,Nuisance,Closed Nuisance,2014-05-23,True,19992150,-84.5303971577293,38.0724293468616
08864145W14,2014,4145 HARRODSBURG RD,2014-05-08,Nuisance,Closed Nuisance,2014-05-23,True,19993160,-84.538224576749,38.0261412939728
07120740W8,2014,740 FLORENCE AVE,2014-05-08,Nuisance,Closed Nuisance,2014-05-23,True,10705200,-84.5064689223948,38.066860151976
05810439W2,2014,439 DOUGLAS AVE,2014-05-08,Nuisance,Closed Nuisance,2014-05-23,True,38086990,-84.5028054031265,38.0664841999843
07120763W13,2014,763 FLORENCE AVE,2014-05-08,Nuisance,Closed Nuisance,2014-05-23,True,16991425,-84.5064239375338,38.0667815268059
07120721W9,2014,721 FLORENCE AVE,2014-05-08,Nuisance,Closed Nuisance,2014-05-23,True,16991425,-84.5064239375338,38.0667815268059
07120719W2,2014,719 FLORENCE AVE,2014-05-08,Nuisance,Closed Nuisance,2014-05-23,True,16991425,-84.5064239375338,38.0667815268059
07120712W3,2014,712 FLORENCE AVE,2014-05-08,Nuisance,Closed Nuisance,2014-05-23,True,16991425,-84.5064239375338,38.0667815268059
06170167W5,2014,167 EDDIE ST,2014-04-02,Nuisance,Closed Nuisance,2014-05-23,True,11864002,-84.5093759193793,38.0390824566397
10100000w3,2014,0 JEFFERSON ST,2014-05-22,Nuisance,Invalid Nuisance,2014-05-23,True,15058254,-84.4942299864539,38.0583791193759
19601419W4,2014,1419 VERSAILLES RD ,2014-05-22,Nuisance,Invalid Nuisance,2014-05-23,True,12833575,-84.5197108109786,38.0531848609318
13620804W4,2014,804 MT VERNON DR,2014-05-22,Nuisance,Invalid Nuisance,2014-05-23,True,15525600,-84.4921772508322,38.0243950578421
40240600W,2014,600 VONBRYAN TRCE,2014-05-22,Nuisance,Invalid Nuisance,2014-05-23,True,38115630,-84.4061486805377,37.985657791035
19130316W2,2014,316 TRANSYLVANIA PARK,2014-05-20,Nuisance,Invalid Nuisance,2014-05-23,True,15942300,-84.4947950195277,38.0366489975736
18571711W4,2014,1711 TARLETON CT,2014-05-23,Nuisance,Invalid Nuisance,2014-05-23,True,14951800,-84.437114620448,38.0510866784391
12010736S2,2013,736 LONGWOOD RD,2013-09-25,Housing,Closed Out,2014-05-23,True,22206806,-84.5370757626902,38.0585788776301
29611728S,2013,1728 BUCKNER CT,2013-08-16,Housing,Closed Out,2014-05-23,True,26895300,-84.5462570438791,38.0407423816989
00231613#6-2,2014,1613 ALEXANDRIA DR #6,2014-02-20,Housing,Closed Out,2014-05-23,True,24858100,-84.4624942232413,38.0685412582263
10922402-3,2014,2402 LA ROCHELLE RD,2014-03-26,Housing,Closed Out,2014-05-23,True,11454400,-84.5546358889011,38.0502943198744
01781404S,2013,1404 BEULAH PARK,2013-04-04,Housing,Closed Out,2014-05-23,True,23088700,-84.4837788499357,38.010308507204
05130426-5,2014,426 DALLAS AVE,2014-05-22,Housing,Invalid Complaint,2014-05-23,True,16530663,-84.5098022700798,38.0433022400525
03191808,2014,1808 CANTRILL DR,2014-05-22,Housing,Invalid Complaint,2014-05-23,True,14533200,-84.4449883365142,38.0446550057131
30490693,2014,693 MORGAN HILLS DR,2014-05-23,Housing,Invalid Complaint,2014-05-23,True,19312050,-84.5659401988918,37.9821079824515
30610000W,2014,0 FAULKNER AVE,2014-05-23,Housing,Invalid Complaint,2014-05-23,True,14436950,-84.4520350317739,38.0926161662245
01890580,2014,580 BISHOP DR,2014-05-20,Housing,Invalid Complaint,2014-05-23,True,21058400,-84.4575816403671,38.0836494447475
19661346-6,2014,1346 VILLAGE DR,2014-04-16,Housing,Closed Out,2014-05-23,True,10055960,-84.4813529069849,37.9631527593654
29942565-2,2014,2565 CASHEL CT,2014-04-02,Housing,Closed Out,2014-05-23,True,19964680,-84.4163503597987,38.1776638483525
04931040#2-2,2014,1040 CROSS KEYS RD #2,2014-04-30,Housing,Closed Out,2014-05-23,True,10793653,-84.5488646220868,38.0389453293658
05022035#5-2,2014,2035 CUMMINS CT,2014-05-20,Housing,Closed/Cancelled-No Response from Tenant,2014-05-23,True,14340911,-84.5492280772285,38.0507448288824
19014750,2014,4750 TODDS RD,2014-05-21,Housing,Invalid Complaint,2014-05-22,True,19333070,-84.4231199977667,38.009047558483
05250933,2014,933 DARLEY DR,2014-05-22,Housing,Invalid Complaint,2014-05-22,True,38016140,-84.4634142548353,38.0492412629054
06852009SIGNS,2014,2009 FAMILY CIR,2014-05-20,Nuisance,Invalid Nuisance,2014-05-22,True,10006320,-84.45543547838,38.0341784916394
21140690W19,2014,690 WOODWARD LN,2014-05-21,Nuisance,Invalid Nuisance,2014-05-22,True,20129430,-84.4126084882417,37.9961148778538
43990517W,2014,517 BULRUSH TRCE,2014-05-21,Nuisance,Invalid Nuisance,2014-05-22,True,26871300,-84.4722224467209,38.0724672593703
29011244W3,2014,1244 COLORADO RD,2014-05-21,Nuisance,Invalid Nuisance,2014-05-22,True,19339880,-84.5646069225753,37.9854198784407
29021308W7,2014,1308 RED STONE DR,2014-05-21,Nuisance,Invalid Nuisance,2014-05-22,True,20086160,-84.5683903294744,37.983515301893
20060622W,2014,622 WAXWING WAY,2014-05-22,Nuisance,Invalid Nuisance,2014-05-22,True,25102100,-84.5437525158411,38.010433429492
20060619W,2014,619 WAXWING WAY,2014-05-21,Nuisance,Invalid Nuisance,2014-05-22,True,24776100,-84.5567033638947,37.9885190024937
06293320W,2014,3320 EDNA CT,2014-05-21,Nuisance,Invalid Nuisance,2014-05-22,True,19993840,-84.4050517042048,38.0787900092168
27240000SIGNS8,2014,0 CLEARWATER WAY,2014-05-20,Nuisance,Invalid Nuisance,2014-05-22,True,38021100,-84.5070953406064,38.0873316410243
23302253W,2014,2253 ABBEYWOOD RD,2014-05-14,Nuisance,Invalid Nuisance,2014-05-22,True,38035120,-84.4011277755185,38.0176416690208
18601195W,2014,1195 TATESBROOK DR,2014-04-02,Nuisance,Closed Nuisance,2014-05-22,True,20965042,-84.4881598116693,37.9730831705248
14353503W2,2014,3503 OLYMPIA RD,2014-04-07,Nuisance,Closed Nuisance,2014-05-22,True,14321400,-84.4903136875473,37.9850845257212
02660841W18,2014,841 BRYAN AVE,2014-05-07,Nuisance,Closed Nuisance,2014-05-22,True,20521500,-84.4690512770866,38.0585429730417
06001870W5,2014,1870 DUNKIRK DR,2014-05-08,Nuisance,Closed Nuisance,2014-05-22,True,14473250,-84.5353549570955,38.0543074088091
06001867W9,2014,1867 DUNKIRK DR,2014-05-08,Nuisance,Closed Nuisance,2014-05-22,True,13436425,-84.5346059006927,38.0545076715851
12370252W4,2014,252 MANDALAY RD,2014-05-08,Nuisance,Closed Nuisance,2014-05-22,True,10351300,-84.5428758318081,38.0553678886156
06251905W2,2014,1905 EDGEWORTH DR,2014-05-07,Nuisance,Closed Nuisance,2014-05-22,True,24164000,-84.4564799770223,38.0692482285437
11690408W2,2014,408 LIN WAL RD,2014-05-07,Nuisance,Closed Nuisance,2014-05-22,True,26300700,-84.4621516840055,38.0727924489544
11690509W4,2014,509 LIN WAL RD,2014-05-07,Nuisance,Closed Nuisance,2014-05-22,True,16516600,-84.4654244556976,38.0765751984635
13390594W6,2014,594 MONTICELLO BLVD,2014-04-28,Nuisance,Closed Nuisance,2014-05-22,True,26285000,-84.5467737510621,37.9915719034872
11602364W5,2014,2364 LIBERTY RD,2014-04-21,Nuisance,Closed Nuisance,2014-05-22,True,41176800,-84.4670276590217,38.0392405239723
03100812W8,2014,812 CAMPBELL LN,2014-04-21,Nuisance,Closed Nuisance,2014-05-22,True,38021250,-84.4288508257305,38.0179578432447
03100828W4,2014,828 CAMPBELL LN,2014-04-21,Nuisance,Closed Nuisance,2014-05-22,True,26380750,-84.5593854395859,37.999099115976
23183484W2,2014,3484 WOODSPRING DR,2014-04-29,Nuisance,Closed Nuisance,2014-05-22,True,13935650,-84.5108920542094,37.9854794511515
05681363W5,2014,1363 DIX DR,2014-04-30,Nuisance,Closed Nuisance,2014-05-22,True,14424852,-84.4824207051803,37.9678853254749
43791345W3,2014,1345 OLD TODDS RD,2014-05-02,Nuisance,Closed Nuisance,2014-05-22,True,19333070,-84.4231199977667,38.009047558483
28312033W,2014,2033 ST STEPHENS GREEN,2014-05-05,Nuisance,Closed Nuisance,2014-05-22,True,20134060,-84.5692252647509,38.0022861949039
02530346W2,2014,346 S BROADWAY PARK,2014-05-05,Nuisance,Closed Nuisance,2014-05-22,True,04015770,-84.503658838928,38.046780945094
11410258W,2014,258 LEAWOOD DR,2014-05-05,Nuisance,Closed Nuisance,2014-05-22,True,41515500,-84.4749928737613,38.0654803719268
14300431W5,2014,431 OLDHAM AVE,2014-05-05,Nuisance,Closed Nuisance,2014-05-22,True,10003830,-84.497729604423,38.0362710781402
14660353W3,2014,353 PASADENA DR,2014-05-05,Nuisance,Closed Nuisance,2014-05-22,True,25459200,-84.5276097228112,38.0066056791796
18592725W2,2014,2725 TATES CREEK RD,2014-05-05,Nuisance,Closed Nuisance,2014-05-22,True,13014050,-84.4963435689898,38.0098419020181
15600233W17,2014,233 RACE ST,2014-05-06,Nuisance,Closed Nuisance,2014-05-22,True,15930700,-84.4853685208036,38.0449138596621
15600235W12,2014,235 RACE ST,2014-05-06,Nuisance,Closed Nuisance,2014-05-22,True,11519600,-84.4875617861478,38.0486469622252
06100330W,2014,330 EASTIN RD,2014-05-06,Nuisance,Closed Nuisance,2014-05-22,True,22640400,-84.4555211773471,38.063469625616
19171401W3,2014,1401 TRENT BLVD,2014-05-05,Nuisance,Closed Nuisance,2014-05-22,True,20965135,-84.4942174252143,37.9737756700243
05853328W22,2014,3328 DOWNING PL,2014-05-05,Nuisance,Closed Nuisance,2014-05-22,True,20138680,-84.4093891508785,38.0102064388665
29021341W,2014,1341 RED STONE DR,2014-05-05,Nuisance,Closed Nuisance,2014-05-22,True,20086290,-84.5702684923959,37.984124330876
05342000W12,2014,2000 DEAUVILLE DR,2014-05-06,Nuisance,Closed Nuisance,2014-05-22,True,14197450,-84.4600182592893,38.0261091676604
06001868W,2014,1868 DUNKIRK DR,2014-05-06,Nuisance,Closed Nuisance,2014-05-22,True,10874450,-84.5351801065749,38.0542181202047
05470161W,2014,161 DELMONT DR,2014-05-06,Nuisance,Closed Nuisance,2014-05-22,True,14169000,-84.5308679649835,38.0531050944474
05470150-152W2,2014,150-152 DELMONT DR,2014-05-06,Nuisance,Closed Nuisance,2014-05-22,True,14667900,-84.5315139291581,38.0532680947321
00231618W3,2014,1618 ALEXANDRIA DR,2014-05-06,Nuisance,Closed Nuisance,2014-05-22,True,14783001,-84.4397806484005,38.0505450129271
09553421W3,2014,3421 HOLWYN RD,2014-05-06,Nuisance,Closed Nuisance,2014-05-22,True,21803000,-84.5517617394755,37.9935809512152
20883403W,2014,3403 WINTHROP DR,2014-05-06,Nuisance,Closed Nuisance,2014-05-22,True,27281121,-84.5385176963093,37.9880392356983
19863401W4,2014,3401 WALLINGFORD DR,2014-05-06,Nuisance,Closed Nuisance,2014-05-22,True,21379450,-84.5460994956757,37.9912439972661
08650561W4,2014,561 HALIFAX DR,2014-05-19,Nuisance,Closed Nuisance,2014-05-22,True,20042350,-84.5445458802972,37.9894836846235
14981908W16,2014,1908 PICADILLY ST,2014-05-06,Nuisance,Nuisance Closed w/Civil Penalty,2014-05-22,True,17143400,-84.5407094569818,38.0534663425476
17523362W13,2014,3362 SPANGLER DR,2014-04-30,Nuisance,Nuisance Closed w/Civil Penalty,2014-05-22,True,24517500,-84.5478251793382,37.9899083362637
03641208W12,2014,1208 CENTRE PKWY,2014-04-02,Nuisance,Nuisance Closed w/Civil Penalty,2014-05-22,True,38005610,-84.5616996138465,38.0173923889086
12841101W3,2014,1101 MEADOW LN,2014-05-21,Nuisance,Nuisance Resolved w/o Notice/Order,2014-05-22,True,22649400,-84.4617556282458,38.0552672361227
01101854W6,2014,1854 BALFOUR DR,2014-05-20,Nuisance,Nuisance Resolved w/o Notice/Order,2014-05-21,True,15098635,-84.4822169446039,38.0902332511707
02840102W11,2014,102 BURLEY AVE,2014-05-05,Nuisance,Nuisance Closed w/Civil Penalty,2014-05-21,True,41337200,-84.5163838932078,38.0332156942527
35200234W10,2014,234 MOUSAS WAY,2014-05-05,Nuisance,Nuisance Closed w/Civil Penalty,2014-05-21,True,38018700,-84.4490560924573,38.0113121195397
32783384W2,2014,3384 TYLER CT,2014-04-14,Nuisance,Closed/Abated by City,2014-05-21,True,19991310,-84.4236385504273,38.0004200836711
14200450W9,2014,450 OHIO ST,2014-05-09,Nuisance,Closed/Abated by City,2014-05-21,True,13260250,-84.4846219227692,38.0479532890641
07840655W11,2014,655 GEORGETOWN ST,2014-05-05,Nuisance,Closed/Abated by City,2014-05-21,True,12596500,-84.4858906079827,38.0558845968504
